hora,temp,press,ventvel,rad,chuva,act
0,0.026549,0.585714,0,0,0,0.009357
0.043478,0.017699,0.5,0,0,0,0.011391
0.086957,0.026549,0.514286,0,0,0,0.037429
0.130435,0,0.514286,0,0,0,0.0655
0.173913,0.026549,0.557143,0,0.011469,0,0.112286
0.217391,0.168142,0.685714,0.210526,0.048369,0,0.251424
0.26087,0.362832,0.757143,0.421053,0.09211,0,0.431245
0.304348,0.495575,0.757143,0.315789,0.250873,0,0.504475
0.347826,0.60177,0.7,0.473684,0.739878,0,0.495118
0.391304,0.681416,0.642857,0.552632,0.892711,0,0.5476
0.434783,0.743363,0.571429,0.421053,0.990219,0,0.49105
0.478261,0.831858,0.428571,0.789474,0.955678,0,0.474369
0.521739,0.80531,0.328571,0.578947,0.72918,0,0.478031
0.565217,0.79646,0.271429,0.315789,0.581848,0,0.281123
0.608696,0.734513,0.271429,0.421053,0.339149,0,0.236371
0.652174,0.619469,0.342857,0,0.063132,0,0.185517
0.695652,0.495575,0.442857,0.289474,0.003629,0,0.222945
0.73913,0.442478,0.514286,0.210526,0,0,0.155411
0.782609,0.39823,0.642857,0.184211,0,0,0.02441
0.826087,0.362832,0.714286,0.289474,0.000058,0,0.003662
0.869565,0.318584,0.757143,0.131579,0.000012,0,0.018714
0.913043,0.265487,0.742857,0.131579,0.000006,0,0.002034
0.956522,0.221239,0.628571,0.026316,0,0,0.015053
1,0.176991,0.514286,0,0,0,0.026444
0,0.159292,0.414286,0,0,0,0.00773
0.043478,0.088496,0.328571,0,0,0,0.00773
0.086957,0.079646,0.342857,0,0,0,0.00773
0.130435,0.061947,0.385714,0,0,0,0.00773
0.173913,0.088496,0.428571,0,0.010967,0,0.00773
0.217391,0.283186,0.542857,0.026316,0.038312,0,0.356387
0.26087,0.495575,0.6,0.157895,0.055032,0,0.540683
0.304348,0.60177,0.642857,0.368421,0.207682,0,0.534581
0.347826,0.690265,0.628571,0.394737,0.772584,0,0.582994
0.391304,0.734513,0.542857,0.631579,0.928168,0,0.453214
0.434783,0.699115,0.442857,0.447368,0.670492,0,0.344996
0.478261,0.831858,0.328571,0.5,0.813543,0,0.383645
0.521739,0.849558,0.257143,0.473684,0.659793,0,0.445484
0.565217,0.743363,0.257143,0.026316,0.314696,0,0.284784
0.608696,0.637168,0.257143,0.473684,0.264016,0,0.174532
0.652174,0.539823,0.328571,0.473684,0.043631,0,0.1607
0.695652,0.486726,0.4,0.078947,0.003012,0,0.178194
0.73913,0.451327,0.471429,0.131579,0,0,0.050448
0.782609,0.415929,0.614286,0.131579,0.000009,0,0.021155
0.826087,0.345133,0.742857,0.184211,0.000018,0,0.019528
0.869565,0.283186,0.814286,0.105263,0,0,0.017494
0.913043,0.247788,0.785714,0.236842,0,0,0.030919
0.956522,0.221239,0.728571,0.131579,0,0,0.052482
1,0.221239,0.585714,0.184211,0,0,0.040683
0,0.20354,0.557143,0.236842,0,0,0.026037
0.043478,0.168142,0.514286,0.105263,0,0,0.021969
0.086957,0.150442,0.542857,0.105263,0,0,0.05655
0.130435,0.132743,0.571429,0.052632,0,0,0.167209
0.173913,0.176991,0.585714,0.184211,0.010472,0,0.259967
0.217391,0.318584,0.685714,0.263158,0.037884,0,0.529699
0.26087,0.539823,0.757143,0.368421,0.057386,0,0.58991
0.304348,0.60177,0.8,0.526316,0.236567,0,0.551668
0.347826,0.707965,0.785714,0.342105,0.721844,0,0.475183
0.391304,0.79646,0.757143,0.447368,0.854503,0,0.423108
0.434783,0.761062,0.642857,0.526316,0.864284,0,0.322213
0.478261,0.876106,0.557143,0.368421,0.869786,0,0.346216
0.521739,0.716814,0.471429,0.394737,0.501764,0,0.352319
0.565217,0.752212,0.414286,0.184211,0.30736,0,0.221725
0.608696,0.716814,0.385714,0.578947,0.214223,0,0.165175
0.652174,0.442478,0.4,0.210526,0.131265,0.039474,0.133035
0.695652,0.433628,0.485714,0.052632,0.005847,0.006579,0.144833
