press,act
1010.1,0.023
1009.5,0.028
1009.6,0.092
1009.6,0.161
1009.9,0.276
1010.8,0.618
1011.3,1.06
1011.3,1.24
1010.9,1.217
1010.5,1.346
1010,1.207
1009,1.166
1008.3,1.175
1007.9,0.691
1007.9,0.581
1008.4,0.456
1009.1,0.548
1009.6,0.382
1010.5,0.06
1011,0.009
1011.3,0.046
1011.2,0.005
1010.4,0.037
1009.6,0.065
1008.9,0.019
1008.3,0.019
1008.4,0.019
1008.7,0.019
1009,0.019
1009.8,0.876
1010.2,1.329
1010.5,1.314
1010.4,1.433
1009.8,1.114
1009.1,0.848
1008.3,0.943
1007.8,1.095
1007.8,0.7
1007.8,0.429
1008.3,0.395
1008.8,0.438
1009.3,0.124
1010.3,0.052
1011.2,0.048
1011.7,0.043
1011.5,0.076
1011.1,0.129
1010.1,0.1
1009.9,0.064
1009.6,0.054
1009.8,0.139
1010,0.411
1010.1,0.639
1010.8,1.302
1011.3,1.45
1011.6,1.356
1011.5,1.168
1011.3,1.04
1010.5,0.792
1009.9,0.851
1009.3,0.866
1008.9,0.545
1008.7,0.406
1008.8,0.327
1009.4,0.356
1011.1,0.149
1011.8,0.04
1012.4,0.005
1012.3,0.045
1012,0.094
1011.6,0.04
1011,0.064
1010.5,0.068
1010.5,0.044
1010.9,0.097
1011,0.243
1011.3,0.733
1011.8,1.388
1012.4,1.655
1012.8,1.583
1012.7,1.631
1011.9,1.204
1011,0.835
1010.3,0.762
1009.5,0.66
1009.2,0.743
1009.5,0.587
1010,0.757
1011.2,0.553
1011.6,0.194
1012.4,0.044
1012.7,0.029
1012.8,0.039
1012.6,0.015
1011.7,0.063
1011.2,0.073
1010.7,0.063
1010.4,0.095
1010.4,0.119
1010.5,0.316
1010.9,0.551
1011.6,1.049
1012,1.263
1012.4,1.221
1012.2,0.968
1011.7,0.596
1010.7,0.944
1010,0.916
1009.5,0.579
1009,0.832
1009.1,0.691
1009.3,0.407
1009.8,0.818
1010.5,0.565
1011,0.014
1011.6,0
1011.9,0
1011.8,0.004
1011.4,0.004
1010.9,0
1010.4,0.006
1010.3,0.041
1010.4,0.085
1010.5,0.179
1011,0.374
1011.4,0.931
1011.8,1.371
1012.3,1.327
1012.1,1.355
1011.5,0.981
1010.5,0.943
1009.4,0.962
1008.8,0.704
1008.3,0.557
1008.2,0.491
1008.5,0.459
1009,0.566
1009.4,0.245
1010,0.063
1010.3,0.009
1010.5,0.053
1010,0.025
1009.7,0.031
1009.2,0.167
1009,0.094
1009,0.176
1009.1,0.191
1009.6,0.334
1009.7,0.535
1010.5,1.082
1010.9,1.426
1010.9,1.158
1010.8,1.091
1010.2,1.125
1009.4,0.96
1008.6,0.881
1007.9,0.827
1007.7,0.815
1007.7,0.523
1008.1,0.426
1008.4,0.383
1009.5,0.17
1010.8,0.058
1010.9,0.003
1011.2,0.015
1010.5,0.018
1009.9,0.143
1009.1,0.082
1008.6,0.046
1008.4,0.108
1008.8,0.192
1009.1,0.347
1009.5,0.718
1010.2,1.229
1010.8,1.656
1010.4,1.43
1010.2,1.375
1009.7,1.139
1009.1,1.08
1008.3,0.842
1007.7,0.752
1007.6,0.644
1007.6,0.409
1008.2,0.229
1008.9,0.266
1009.6,0.102
1010.5,0.031
1011,0.053
1011.2,0.084
1010.9,0.099
1010.2,0.096
1009.6,0.149
1009.1,0.099
1008.9,0.12
1009.2,0.244
1009.5,0.367
1009.8,0.908
1010.5,1.509
1011.1,1.64
1011.2,1.594
1011,1.473
1010.5,1.085
1009.7,0.89
1008.7,0.901
1008.4,0.618
1008.1,0.516
1008,0.325
1008.2,0.237
1008.6,0.24
1009.1,0.131
1010.2,0.081
1010.5,0.007
1011.2,0.018
1010.8,0.018
1010.3,0.081
1009.8,0.071
1009.3,0.086
1009.3,0.06
1009.4,0.116
1009.6,0.466
1010,0.739
1010.5,1.272
1011.3,1.664
1011.9,1.735
1011.9,1.687
1011.4,1.336
1010.6,1.213
1009.9,1.045
1009.2,0.918
1008.9,0.821
1009,0.384
1009.4,0.224
1009.9,0.373
1010.8,0.272
1011.4,0.056
1011.8,0.004
1011.6,0.034
1011.2,0.052
1010.3,0.037
1009.4,0.045
1008.8,0.125
1008.7,0.065
1008.7,0.24
1009.1,0.274
1009.9,0.741
1010.8,1.243
1011.4,1.517
1011.6,1.646
1011.8,1.795
1011.5,1.357
1010.7,1.027
1009.6,1.061
1008.7,0.837
1008.3,0.821
1008.5,0.764
1009.3,0.802
1009.5,0.859
1010.4,0.707
1011.3,0.099
1012.1,0.08
1012.1,0.053
1011.6,0.095
1011,0.091
1010,0.084
1008.8,0.103
1008.4,0.148
1008.5,0.089
1009,0.275
1009.7,0.68
1010.5,1.519
1011,1.667
1011.4,1.347
1011.4,1.265
1010.7,1.364
1009.9,1.265
1008.7,0.955
1007.8,0.615
1007.1,0.57
1007.6,0.722
1008.2,0.577
1009.8,0.66
1010.7,0.426
1011.3,0.027
1011,0.003
1011.6,0
1011.5,0.003
1010.8,0.003
1010,0.014
1009.4,0
1009.2,0.012
1009.2,0.048
1009.8,0.132
1010.7,0.369
1011.3,0.814
1011.8,1.405
1012.1,1.598
1012.1,1.492
1011.6,1.207
1010.7,1.072
1009.9,0.964
1008.9,0.754
1008.6,0.892
1008.5,0.61
1009,0.399
1009.7,0.604
1010.3,0.393
1011.3,0.078
1011.8,0.018
1011.9,0.048
1011.7,0.066
1011,0.165
1010.2,0.093
1009.8,0.065
1009.8,0.053
1010,0.123
1010.3,0.158
1010.9,0.39
1011.5,0.801
1011.9,1.144
1012.1,1.252
1011.7,1.232
1011,1.109
1010.3,0.941
1009.6,0.933
1009.2,0.968
1008.8,0.721
1008.7,0.431
1008.8,0.507
1009.5,0.543
1010.2,0.355
1011.3,0.056
1011.9,0
1011.8,0.05
1011.6,0.032
1011.1,0.056
1010.6,0.147
1009.8,0.069
1010.1,0.073
1010.1,0.218
1010,0.256
1010.3,0.533
