rad,act
-3.54,0.023
-3.54,0.028
-3.54,0.092
-3.54,0.161
33.98,0.276
154.7,0.618
297.8,1.06
817.2,1.24
2417,1.217
2917,1.346
3236,1.207
3123,1.166
2382,1.175
1900,0.691
1106,0.581
203,0.456
8.333,0.548
-3.54,0.382
-3.54,0.06
-3.35,0.009
-3.5,0.046
-3.52,0.005
-3.54,0.037
-3.54,0.065
-3.54,0.019
-3.54,0.019
-3.54,0.019
-3.54,0.019
32.34,0.019
121.8,0.876
176.5,1.329
675.9,1.314
2524,1.433
3033,1.114
2190,0.848
2658,0.943
2155,1.095
1026,0.7
860.2,0.429
139.2,0.395
6.313,0.438
-3.54,0.124
-3.51,0.052
-3.48,0.048
-3.54,0.043
-3.54,0.076
-3.54,0.129
-3.54,0.1
-3.54,0.064
-3.54,0.054
-3.54,0.139
-3.54,0.411
30.72,0.639
120.4,1.302
184.2,1.45
770.4,1.356
2358,1.168
2792,1.04
2824,0.792
2842,0.851
1638,0.866
1002,0.545
697.3,0.406
425.9,0.327
15.59,0.356
1.435,0.149
-0.46,0.04
-2.64,0.005
-2.54,0.045
-2.78,0.094
-3.31,0.04
-3.34,0.064
-3.34,0.068
-3.46,0.044
-3.41,0.097
-2.8,0.243
30.8,0.733
135,1.388
209.9,1.655
718.1,1.583
1986,1.631
2480,1.204
2679,0.835
1954,0.762
2028,0.66
1106,0.743
614.9,0.587
114.6,0.757
21.24,0.553
0.589,0.194
-1.11,0.044
-2,0.029
-1.63,0.039
-2.9,0.015
-3.06,0.063
-3.46,0.073
-3.48,0.063
-3.51,0.095
-3.24,0.119
-3.53,0.316
33.92,0.551
146.7,1.049
248.7,1.263
837.6,1.221
1663,0.968
2595,0.596
2558,0.944
2751,0.916
2087,0.579
2101,0.832
945.9,0.691
187.1,0.407
14.58,0.818
-3.02,0.565
-1.78,0.014
-2.54,0
-2.36,0
-3.41,0.004
-3.49,0.004
-3.07,0
-3.54,0.006
-3.54,0.041
-3.54,0.085
-3.54,0.179
33.79,0.374
145.1,0.931
218.9,1.371
790.4,1.327
1796,1.355
2669,0.981
1991,0.943
2745,0.962
1751,0.704
1474,0.557
879.6,0.491
78.76,0.459
9.05,0.566
-2.87,0.245
-3.53,0.063
-3.48,0.009
-3.54,0.053
-3.26,0.025
-3.23,0.031
-3.54,0.167
-3.54,0.094
-3.54,0.176
-3.54,0.191
-3.54,0.334
34.39,0.535
156.4,1.082
262.9,1.426
814.1,1.158
1878,1.091
2656,1.125
2326,0.96
2256,0.881
1450,0.827
1718,0.815
1132,0.523
262.2,0.426
8.973,0.383
-1.32,0.17
-1.76,0.058
-2.95,0.003
-2.99,0.015
-3.22,0.018
-3.35,0.143
-3.54,0.082
-3.54,0.046
-3.54,0.108
-3.54,0.192
-3.54,0.347
33.45,0.718
158.9,1.229
367.4,1.656
797.5,1.43
2444,1.375
2775,1.139
2025,1.08
2854,0.842
2342,0.752
903.6,0.644
573.2,0.409
160.9,0.229
0.416,0.266
-3.14,0.102
-1.89,0.031
-2.83,0.053
-1.42,0.084
-1.25,0.099
-2,0.096
-3.47,0.149
-3.47,0.099
-3.52,0.12
-3.52,0.244
-3.54,0.367
33.68,0.908
161.3,1.509
254.9,1.64
742.4,1.594
2311,1.473
2330,1.085
2799,0.89
2661,0.901
1973,0.618
1672,0.516
877.5,0.325
261.8,0.237
11.72,0.24
-3,0.131
-3.38,0.081
-3.48,0.007
-3.54,0.018
-3.54,0.018
-3.54,0.081
-3.54,0.071
-3.54,0.086
-3.54,0.06
-3.54,0.116
-3.54,0.466
36.51,0.739
158.3,1.272
240,1.664
725.5,1.735
2288,1.687
2851,1.336
3268,1.213
2952,1.045
2412,0.918
1916,0.821
885.8,0.384
129.9,0.224
7.268,0.373
-3.54,0.272
-3.44,0.056
-2.16,0.004
-3.54,0.034
-3.54,0.052
-3.54,0.037
-3.54,0.045
-3.54,0.125
-3.54,0.065
-3.54,0.24
-3.54,0.274
36.71,0.741
189.7,1.243
307,1.517
813.4,1.646
1683,1.795
2184,1.357
2339,1.027
2479,1.061
1510,0.837
1413,0.821
1100,0.764
197.1,0.802
4.113,0.859
-3.53,0.707
-2.94,0.099
-2.3,0.08
-1.46,0.053
-3.22,0.095
-3.54,0.091
-3.54,0.084
-3.54,0.103
-3.54,0.148
-3.54,0.089
-3.54,0.275
36.38,0.68
167.6,1.519
321.2,1.667
862.6,1.347
1563,1.265
2160,1.364
1621,1.265
2900,0.955
2189,0.615
1962,0.57
1080,0.722
242.2,0.577
2.591,0.66
-3.54,0.426
-2.43,0.027
-2.23,0.003
-0.51,0
-1.87,0.003
-3.23,0.003
-3.54,0.014
-3.5,0
-3.53,0.012
-3.48,0.048
-3.54,0.132
38.95,0.369
182.5,0.814
343.2,1.405
773.2,1.598
1785,1.492
2773,1.207
3169,1.072
2627,0.964
2287,0.754
1980,0.892
1266,0.61
172.2,0.399
4.253,0.604
-3.54,0.393
-2.18,0.078
-3.2,0.018
-2.34,0.048
-3.54,0.066
-3.54,0.165
-3.54,0.093
-3.54,0.065
-3.54,0.053
-3.54,0.123
-3.54,0.158
36.46,0.39
150.6,0.801
232.4,1.144
369.1,1.252
2650,1.232
3001,1.109
2360,0.941
2738,0.933
2615,0.968
1578,0.721
1109,0.431
247.7,0.507
7.251,0.543
-3,0.355
-3.01,0.056
-2.95,0
-3.54,0.05
-3.54,0.032
-3.54,0.056
-3.54,0.147
-3.54,0.069
-3.54,0.073
-3.54,0.218
-3.54,0.256
34.84,0.533
161.8,0.861
253.1,1.265
391.9,1.246
2609,1.281
2979,1.044
2902,0.789
3052,0.672
2648,0.868
1988,0.757
1201,0.312
264.4,0.192
6.873,0.476
-3.11,0.284
-3,0.035
-3.54,0.025
-3.54,0.038
-3.54,0.098
-3.54,0.038
-3.54,0.098
-3.54,0.126
-3.54,0.143
-3.54,0.235
-3.54,0.42
37.36,0.747
170.7,1.263
339.7,1.403
755.4,1.392
2347,1.601
2449,1.239
2676,1.119
2740,1.031
2606,0.932
2017,0.843
1041,0.406
293.9,0.273
6.044,0.471
-3.51,0.297
-3.52,0.065
-3.48,0
-3.54,0
-3.54,0.027
-3.54,0.01
-3.54,0.017
-3.54,0.056
-3.54,0.175
-3.53,0.25
-3.46,0.414
47.49,0.843
323.7,1.616
545.5,2.216
674,2.31
1367,2.265
2283,1.627
3034,1.313
2822,1.254
2376,0.896
1735,0.914
1123,0.455
308,0.366
4.89,0.519
-3.54,0.299
-3.54,0.015
-3.31,0.004
-3.19,0.015
-3.52,0.034
-3.48,0.049
-3.28,0.19
-3.05,0.189
-3.53,0.131
-3.54,0.303
-3.54,0.389
40.78,0.947
185.7,1.475
414.5,1.758
898.5,1.525
2085,1.861
2962,1.758
3024,1.32
2793,1.217
2344,1.209
1972,1.123
1236,0.648
317.1,0.361
6.998,0.586
-3.54,0.41
-3.54,0.037
-3.54,0.004
-3.54,0.033
-3.54,0.074
-3.54,0.053
-3.54,0.078
-3.54,0.102
-3.54,0.158
-3.54,0.193
-3.54,0.284
50.39,0.604
303.1,1.284
642,1.596
1018,1.389
2098,1.488
2876,1.172
2722,1.235
2061,1.133
2278,1.032
1297,0.874
859.1,0.66
324.6,0.47
13.43,0.516
-3.54,0.411
-3.54,0.063
-3.52,0
-3.22,0.007
-3.54,0.014
-3.54,0.035
-3.54,0.053
-3.54,0.074
-3.54,0.042
-3.54,0.065
-3.54,0.116
45.49,0.285
193.1,0.893
370.7,1.211
806,1.312
1774,1.386
1988,1.065
2733,1.033
2512,0.825
1398,0.893
686.8,0.697
204.3,0.632
126.3,0.436
2.346,0.481
-1.66,0.128
-2.36,0.015
-2.74,0.027
-2.84,0.021
-3.39,0.116
-3.54,0.107
-3.53,0.136
-3.54,0.17
-3.49,0.167
-3.48,0.078
-3.5,0.213
41.98,0.371
164.2,0.934
276.1,1.362
603,1.247
2077,1.443
2092,1.284
2072,0.934
1869,0.764
456.4,0.793
292.1,0.784
271.7,0.658
91.13,0.48
14.85,0.391
-0.31,0.184
-3.36,0.118
-3.29,0.069
-3.51,0.026
-3.54,0.106
-3.54,0.129
-3.54,0.124
-3.54,0.174
-3.53,0.101
-3.54,0.116
-3.54,0.241
39.72,0.576
163.2,0.927
254,1.244
582.8,1.436
2710,1.424
2928,1.146
3216,0.991
2765,0.857
1586,0.857
1201,0.814
525.8,0.357
144,0.299
11.66,0.549
-3.53,0.183
-3.54,0.067
-3.48,0.076
-3.54,0.125
-3.54,0.149
-3.54,0.204
-3.54,0.268
-3.54,0.209
-3.54,0.209
-3.54,0.139
-3.54,0.223
39.5,0.476
183.5,0.834
282.8,1.432
554,1.419
2591,1.639
2887,1.348
2852,1.182
1694,0.943
1376,0.747
1147,1.041
497.5,0.635
313.6,0.429
8.328,0.199
-3.49,0.152
-3.53,0.061
-3.54,0.007
-3.54,0.017
-3.46,0.051
-3.21,0.101
-3.54,0.176
-3.53,0.158
-2.68,0.158
-3.54,0.286
-3.53,0.376
43.41,0.707
308.2,1.244
500.1,1.523
880.7,1.816
1422,1.808
1637,1.342
2201,1.229
1988,0.823
1795,1.026
1620,0.868
1064,0.613
225.8,0.41
2.299,0.282
-3.27,0.203
-3.53,0.098
-3.48,0.132
-3.54,0.06
-3.54,0.113
-3.54,0.124
-3.54,0.177
-3.54,0.231
-3.54,0.146
-3.54,0.208
-3.54,0.327
46.25,0.362
185.9,0.919
373.8,1.435
911.4,1.323
1179,1.485
1499,1.073
1318,1.288
1704,1.096
1995,0.846
1015,0.888
406.2,0.692
281.6,0.492
11.68,0.654
-3.54,0.285
-3.54,0.081
-3.48,0.096
-3.54,0.15
-3.54,0.227
-3.54,0.15
-3.54,0.088
-3.54,0.065
-3.54,0.121
-3.54,0.046
-3.54,0.176
45.26,0.296
171,0.782
303.6,1.078
813.5,1.212
2210,1.43
2262,1.003
2357,0.847
2565,1.14
2059,1.212
1928,1.036
792.3,0.87
203.6,0.671
5.051,0.73
-3.54,0.469
-3.54,0.039
-3.54,0.033
-3.54,0
-3.54,0.01
-3.54,0.026
-3.54,0.078
-3.54,0.029
-3.54,0.038
-3.54,0.081
-3.54,0.172
43.62,0.294
161.7,0.686
407.8,1.221
715.5,1.346
2222,1.581
2926,1.235
2869,1.157
2640,0.951
1494,1.015
1433,1.041
520.6,0.497
372.8,0.735
6.082,0.852
-3.38,0.34
-3.54,0.058
-3.53,0.012
-3.54,0.174
-3.54,0.224
-3.54,0.247
-3.54,0.183
-3.54,0.101
-3.54,0.115
-3.54,0.132
-3.54,0.146
42.2,0.39
182.4,0.89
354.8,1.219
815.7,1.371
2419,1.885
1543,1.612
1240,1.343
1048,1.213
827,1.166
557.8,1.126
215.3,0.927
269.8,0.949
1.887,0.708
-3.53,0.343
-3.52,0.098
-3.48,0.067
-3.54,0.059
-3.54,0.152
-3.54,0.138
-3.54,0.11
-3.54,0.107
-3.54,0.128
-3.54,0.25
-3.54,0.274
50.82,0.491
222.1,1.009
488.2,1.265
854.4,1.235
1847,1.774
2038,1.396
2114,1.095
2142,1.045
2247,0.964
1467,0.976
1038,0.747
309,0.548
2.899,0.509
-2.86,0.28
-3.54,0.009
-3.54,0.057
-3.54,0.057
-3.54,0.128
-3.54,0.119
-3.54,0.185
-3.54,0.221
-3.54,0.211
-3.54,0.298
-3.54,0.408
48.53,0.559
194.9,0.977
318.5,1.278
677.6,1.1
