temp,act
22.9,0.023
22.8,0.028
22.9,0.092
22.6,0.161
22.9,0.276
24.5,0.618
26.7,1.06
28.2,1.24
29.4,1.217
30.3,1.346
31,1.207
32,1.166
31.7,1.175
31.6,0.691
30.9,0.581
29.6,0.456
28.2,0.548
27.6,0.382
27.1,0.06
26.7,0.009
26.2,0.046
25.6,0.005
25.1,0.037
24.6,0.065
24.4,0.019
23.6,0.019
23.5,0.019
23.3,0.019
23.6,0.019
25.8,0.876
28.2,1.329
29.4,1.314
30.4,1.433
30.9,1.114
30.5,0.848
32,0.943
32.2,1.095
31,0.7
29.8,0.429
28.7,0.395
28.1,0.438
27.7,0.124
27.3,0.052
26.5,0.048
25.8,0.043
25.4,0.076
25.1,0.129
25.1,0.1
24.9,0.064
24.5,0.054
24.3,0.139
24.1,0.411
24.6,0.639
26.2,1.302
28.7,1.45
29.4,1.356
30.6,1.168
31.6,1.04
31.2,0.792
32.5,0.851
30.7,0.866
31.1,0.545
30.7,0.406
27.6,0.327
27.5,0.356
24.1,0.149
24,0.04
24.4,0.005
24.4,0.045
24,0.094
23.8,0.04
23.7,0.064
23.6,0.068
23.5,0.044
23.2,0.097
23.6,0.243
23.8,0.733
25.8,1.388
28.1,1.655
29.2,1.583
29.6,1.631
31,1.204
31.1,0.835
30.9,0.762
31.4,0.66
31.6,0.743
24.9,0.587
24.8,0.757
25.4,0.553
22.8,0.194
23.4,0.044
23.6,0.029
23.9,0.039
23.7,0.015
23.7,0.063
23.6,0.073
23.4,0.063
23.3,0.095
23.3,0.119
23.2,0.316
23.7,0.551
24.9,1.049
27.8,1.263
28.4,1.221
29.1,0.968
30.4,0.596
31,0.944
31.9,0.916
31,0.579
32,0.832
32.3,0.691
29,0.407
28.3,0.818
25.9,0.565
25.3,0.014
25.3,0
25.1,0
24.9,0.004
24.8,0.004
24.4,0
24.1,0.006
23.8,0.041
23.7,0.085
23.7,0.179
24.2,0.374
25.5,0.931
27.9,1.371
29.7,1.327
29.6,1.355
31.3,0.981
30.5,0.943
31.4,0.962
32.7,0.704
31.5,0.557
30,0.491
27.3,0.459
27.2,0.566
26.7,0.245
26.4,0.063
25.9,0.009
25.4,0.053
25.2,0.025
24.9,0.031
24.6,0.167
24.3,0.094
23.9,0.176
