prev,act
0.023,0.028
0.028,0.092
0.092,0.161
0.161,0.276
0.276,0.618
0.618,1.06
1.06,1.24
1.24,1.217
1.217,1.346
1.346,1.207
1.207,1.166
1.166,1.175
1.175,0.691
0.691,0.581
0.581,0.456
0.456,0.548
0.548,0.382
0.382,0.06
0.06,0.009
0.009,0.046
0.046,0.005
0.005,0.037
0.037,0.065
0.065,0.019
0.019,0.019
0.019,0.019
0.019,0.019
0.019,0.019
0.019,0.876
0.876,1.329
1.329,1.314
1.314,1.433
1.433,1.114
1.114,0.848
0.848,0.943
0.943,1.095
1.095,0.7
0.7,0.429
0.429,0.395
0.395,0.438
0.438,0.124
0.124,0.052
0.052,0.048
0.048,0.043
0.043,0.076
0.076,0.129
0.129,0.1
0.1,0.064
0.064,0.054
0.054,0.139
0.139,0.411
0.411,0.639
0.639,1.302
1.302,1.45
1.45,1.356
1.356,1.168
1.168,1.04
1.04,0.792
0.792,0.851
0.851,0.866
0.866,0.545
0.545,0.406
0.406,0.327
0.327,0.356
0.356,0.149
0.149,0.04
0.04,0.005
0.005,0.045
0.045,0.094
0.094,0.04
0.04,0.064
0.064,0.068
0.068,0.044
0.044,0.097
0.097,0.243
0.243,0.733
0.733,1.388
1.388,1.655
1.655,1.583
1.583,1.631
1.631,1.204
1.204,0.835
0.835,0.762
0.762,0.66
0.66,0.743
0.743,0.587
0.587,0.757
0.757,0.553
0.553,0.194
0.194,0.044
0.044,0.029
0.029,0.039
0.039,0.015
0.015,0.063
0.063,0.073
0.073,0.063
0.063,0.095
0.095,0.119
0.119,0.316
0.316,0.551
0.551,1.049
1.049,1.263
1.263,1.221
1.221,0.968
0.968,0.596
0.596,0.944
0.944,0.916
0.916,0.579
0.579,0.832
0.832,0.691
0.691,0.407
0.407,0.818
0.818,0.565
0.565,0.014
0.014,0
0,0
0,0.004
0.004,0.004
0.004,0
0,0.006
0.006,0.041
0.041,0.085
0.085,0.179
0.179,0.374
0.374,0.931
0.931,1.371
1.371,1.327
1.327,1.355
1.355,0.981
0.981,0.943
0.943,0.962
0.962,0.704
0.704,0.557
0.557,0.491
0.491,0.459
0.459,0.566
0.566,0.245
0.245,0.063
0.063,0.009
0.009,0.053
0.053,0.025
0.025,0.031
0.031,0.167
0.167,0.094
0.094,0.176
0.176,0.191
0.191,0.334
0.334,0.535
0.535,1.082
1.082,1.426
1.426,1.158
1.158,1.091
1.091,1.125
1.125,0.96
0.96,0.881
0.881,0.827
0.827,0.815
0.815,0.523
0.523,0.426
0.426,0.383
0.383,0.17
0.17,0.058
0.058,0.003
0.003,0.015
0.015,0.018
0.018,0.143
0.143,0.082
0.082,0.046
0.046,0.108
0.108,0.192
0.192,0.347
0.347,0.718
0.718,1.229
1.229,1.656
1.656,1.43
1.43,1.375
1.375,1.139
1.139,1.08
1.08,0.842
0.842,0.752
0.752,0.644
0.644,0.409
0.409,0.229
0.229,0.266
0.266,0.102
0.102,0.031
0.031,0.053
0.053,0.084
0.084,0.099
0.099,0.096
0.096,0.149
0.149,0.099
0.099,0.12
0.12,0.244
0.244,0.367
0.367,0.908
0.908,1.509
1.509,1.64
1.64,1.594
1.594,1.473
1.473,1.085
1.085,0.89
0.89,0.901
0.901,0.618
0.618,0.516
0.516,0.325
0.325,0.237
0.237,0.24
0.24,0.131
0.131,0.081
0.081,0.007
0.007,0.018
0.018,0.018
0.018,0.081
0.081,0.071
0.071,0.086
0.086,0.06
0.06,0.116
0.116,0.466
0.466,0.739
0.739,1.272
1.272,1.664
1.664,1.735
1.735,1.687
1.687,1.336
1.336,1.213
1.213,1.045
1.045,0.918
0.918,0.821
0.821,0.384
0.384,0.224
0.224,0.373
0.373,0.272
0.272,0.056
0.056,0.004
0.004,0.034
0.034,0.052
0.052,0.037
0.037,0.045
0.045,0.125
0.125,0.065
0.065,0.24
0.24,0.274
0.274,0.741
0.741,1.243
1.243,1.517
1.517,1.646
1.646,1.795
1.795,1.357
1.357,1.027
1.027,1.061
1.061,0.837
0.837,0.821
0.821,0.764
0.764,0.802
0.802,0.859
0.859,0.707
0.707,0.099
0.099,0.08
0.08,0.053
0.053,0.095
0.095,0.091
0.091,0.084
0.084,0.103
0.103,0.148
0.148,0.089
0.089,0.275
0.275,0.68
0.68,1.519
1.519,1.667
1.667,1.347
1.347,1.265
1.265,1.364
1.364,1.265
1.265,0.955
0.955,0.615
0.615,0.57
0.57,0.722
0.722,0.577
0.577,0.66
0.66,0.426
0.426,0.027
0.027,0.003
0.003,0
0,0.003
0.003,0.003
0.003,0.014
0.014,0
