hora,temp,press,ventvel,rad,act
0,22.9,1010.1,0,-3.54,0.023
1,22.8,1009.5,0,-3.54,0.028
2,22.9,1009.6,0,-3.54,0.092
3,22.6,1009.6,0,-3.54,0.161
4,22.9,1009.9,0,33.98,0.276
5,24.5,1010.8,0.8,154.7,0.618
6,26.7,1011.3,1.6,297.8,1.06
7,28.2,1011.3,1.2,817.2,1.24
8,29.4,1010.9,1.8,2417,1.217
9,30.3,1010.5,2.1,2917,1.346
10,31,1010,1.6,3236,1.207
11,32,1009,3,3123,1.166
12,31.7,1008.3,2.2,2382,1.175
13,31.6,1007.9,1.2,1900,0.691
14,30.9,1007.9,1.6,1106,0.581
15,29.6,1008.4,0,203,0.456
16,28.2,1009.1,1.1,8.333,0.548
17,27.6,1009.6,0.8,-3.54,0.382
18,27.1,1010.5,0.7,-3.54,0.06
19,26.7,1011,1.1,-3.35,0.009
20,26.2,1011.3,0.5,-3.5,0.046
21,25.6,1011.2,0.5,-3.52,0.005
22,25.1,1010.4,0.1,-3.54,0.037
23,24.6,1009.6,0,-3.54,0.065
0,24.4,1008.9,0,-3.54,0.019
1,23.6,1008.3,0,-3.54,0.019
2,23.5,1008.4,0,-3.54,0.019
3,23.3,1008.7,0,-3.54,0.019
4,23.6,1009,0,32.34,0.019
5,25.8,1009.8,0.1,121.8,0.876
6,28.2,1010.2,0.6,176.5,1.329
7,29.4,1010.5,1.4,675.9,1.314
8,30.4,1010.4,1.5,2524,1.433
9,30.9,1009.8,2.4,3033,1.114
10,30.5,1009.1,1.7,2190,0.848
11,32,1008.3,1.9,2658,0.943
12,32.2,1007.8,1.8,2155,1.095
13,31,1007.8,0.1,1026,0.7
14,29.8,1007.8,1.8,860.2,0.429
15,28.7,1008.3,1.8,139.2,0.395
16,28.1,1008.8,0.3,6.313,0.438
17,27.7,1009.3,0.5,-3.54,0.124
18,27.3,1010.3,0.5,-3.51,0.052
19,26.5,1011.2,0.7,-3.48,0.048
20,25.8,1011.7,0.4,-3.54,0.043
21,25.4,1011.5,0.9,-3.54,0.076
22,25.1,1011.1,0.5,-3.54,0.129
23,25.1,1010.1,0.7,-3.54,0.1
0,24.9,1009.9,0.9,-3.54,0.064
1,24.5,1009.6,0.4,-3.54,0.054
2,24.3,1009.8,0.4,-3.54,0.139
3,24.1,1010,0.2,-3.54,0.411
4,24.6,1010.1,0.7,30.72,0.639
5,26.2,1010.8,1,120.4,1.302
6,28.7,1011.3,1.4,184.2,1.45
7,29.4,1011.6,2,770.4,1.356
8,30.6,1011.5,1.3,2358,1.168
9,31.6,1011.3,1.7,2792,1.04
10,31.2,1010.5,2,2824,0.792
11,32.5,1009.9,1.4,2842,0.851
12,30.7,1009.3,1.5,1638,0.866
13,31.1,1008.9,0.7,1002,0.545
14,30.7,1008.7,2.2,697.3,0.406
15,27.6,1008.8,0.8,425.9,0.327
16,27.5,1009.4,0.2,15.59,0.356
17,24.1,1011.1,2.6,1.435,0.149
18,24,1011.8,0,-0.46,0.04
19,24.4,1012.4,0.9,-2.64,0.005
20,24.4,1012.3,0,-2.54,0.045
21,24,1012,0.1,-2.78,0.094
22,23.8,1011.6,0,-3.31,0.04
23,23.7,1011,0,-3.34,0.064
0,23.6,1010.5,0.1,-3.34,0.068
1,23.5,1010.5,0,-3.46,0.044
2,23.2,1010.9,0,-3.41,0.097
3,23.6,1011,0.2,-2.8,0.243
4,23.8,1011.3,0.3,30.8,0.733
5,25.8,1011.8,0.7,135,1.388
6,28.1,1012.4,1.7,209.9,1.655
7,29.2,1012.8,1.5,718.1,1.583
8,29.6,1012.7,1.5,1986,1.631
9,31,1011.9,1.9,2480,1.204
10,31.1,1011,2.1,2679,0.835
11,30.9,1010.3,1.8,1954,0.762
12,31.4,1009.5,1.5,2028,0.66
13,31.6,1009.2,0.8,1106,0.743
14,24.9,1009.5,0.9,614.9,0.587
15,24.8,1010,1,114.6,0.757
16,25.4,1011.2,0.9,21.24,0.553
17,22.8,1011.6,0.8,0.589,0.194
18,23.4,1012.4,0.2,-1.11,0.044
19,23.6,1012.7,0,-2,0.029
20,23.9,1012.8,0.1,-1.63,0.039
21,23.7,1012.6,0,-2.9,0.015
22,23.7,1011.7,0.1,-3.06,0.063
23,23.6,1011.2,0,-3.46,0.073
0,23.4,1010.7,0,-3.48,0.063
1,23.3,1010.4,0,-3.51,0.095
2,23.3,1010.4,0,-3.24,0.119
3,23.2,1010.5,0.1,-3.53,0.316
4,23.7,1010.9,0.2,33.92,0.551
5,24.9,1011.6,1.3,146.7,1.049
6,27.8,1012,1.1,248.7,1.263
