Architecture,RMSE
GRU_1-1-1-1,0.234368
GRU_1-1-1-1,0.235449
GRU_1-1-1-1,0.244952
GRU_1-1-1-1,0.233210
GRU_1-1-1-1,0.230573
GRU_1-1-1-1,0.241661
GRU_1-1-1-1,0.241006
GRU_1-1-1-1,0.234957
GRU_1-1-1-1,0.247567
GRU_1-1-1-1,0.244216
GRU_4,0.217477
GRU_4,0.227226
GRU_4,0.218925
GRU_4,0.223528
GRU_4,0.218445
GRU_4,0.221990
GRU_4,0.218737
GRU_4,0.219809
GRU_4,0.222125
GRU_4,0.216718
GRU_2x2,0.207741
GRU_2x2,0.221973
GRU_2x2,0.213781
GRU_2x2,0.217141
GRU_2x2,0.208717
GRU_2x2,0.209771
GRU_2x2,0.213979
GRU_2x2,0.219464
GRU_2x2,0.216642
GRU_2x2,0.217068
LSTM_1-1-1-1,0.258630
LSTM_1-1-1-1,0.269439
LSTM_1-1-1-1,0.263466
LSTM_1-1-1-1,0.258363
LSTM_1-1-1-1,0.262612
LSTM_1-1-1-1,0.246636
LSTM_1-1-1-1,0.258458
LSTM_1-1-1-1,0.264282
LSTM_1-1-1-1,0.243599
LSTM_1-1-1-1,0.248393
LSMT_4,0.219395
LSMT_4,0.219500
LSMT_4,0.226096
LSMT_4,0.225014
LSMT_4,0.238352
LSMT_4,0.226963
LSMT_4,0.230503
LSMT_4,0.224165
LSMT_4,0.227493
LSMT_4,0.222977
LSTM_2x2,0.221533
LSTM_2x2, 0.229037
LSTM_2x2,0.224537
LSTM_2x2,0.224061
LSTM_2x2,0.229249
LSTM_2x2,0.223571
LSTM_2x2,0.222386
LSTM_2x2,0.222690
LSTM_2x2,0.224757
LSTM_2x2,0.226230
