Window,RMSE
t-1,0.229169
t-1,0.232218
t-1,0.228983
t-1,0.228985
t-1,0.230059
t-1,0.240819
t-1,0.228934
t-1,0.228273
t-1,0.230535
t-1,0.232386
t-6,0.175497
t-6,0.18456
t-6,0.189535
t-6,0.19797
t-6,0.174185
t-6,0.182965
t-6,0.190874
t-6,0.18394
t-6,0.178402
t-6,0.178233
t-12,0.17888
t-12,0.18988
t-12,0.190398
t-12,0.18325
t-12,0.187999
t-12,0.173237
t-12,0.192371
t-12,0.174581
t-12,0.173551
t-12,0.186257
t-24,0.173528
t-24,0.1698
t-24,0.165977
t-24,0.163911
t-24,0.171027
t-24,0.185472
t-24,0.159314
t-24,0.183513
t-24,0.151745
t-24,0.17674
t-36,0.186885
t-36,0.178084
t-36,0.185298
t-36,0.163073
t-36,0.172659
t-36,0.174777
t-36,0.167969
t-36,0.184727
t-36,0.192629
t-36,0.183923
t-48,0.177583
t-48,0.170368
t-48,0.179633
t-48,0.17815
t-48,0.177123
t-48,0.168433
t-48,0.183757
t-48,0.173865
t-48,0.171443
t-48,0.184445
t-60,0.186648
t-60,0.185936
t-60,0.173509
t-60,0.17813
t-60,0.182992
t-60,0.171374
t-60,0.180662
t-60,0.173685
t-60,0.180291
t-60,0.177431
